dpy,mental_state,personality,metric,n_base,n_trauma,median_base,median_trauma,delta_median,mean_base,mean_trauma,delta_mean,mwu_p,cliffs_d,note
12,determined,curious,vader_compound,9,13,-0.296,0.0,0.296,-0.2068,0.0575,0.2643,0.1594,-0.3675,
12,determined,empathetic,tb_polarity,6,7,0.0,0.1,0.1,-0.0542,0.1045,0.1587,0.3841,-0.3095,
12,determined,empathetic,vader_compound,6,7,0.0,0.0,0.0,-0.0532,0.0559,0.1091,0.6639,-0.1667,
12,hopeful,aggressive,tb_polarity,0,4,,,,,,,,,insufficient data
12,hopeful,aggressive,vader_compound,0,4,,,,,,,,,insufficient data
12,hopeful,brave,tb_polarity,22,8,0.0,-0.0088,-0.0088,-0.0717,-0.0916,-0.0199,0.8682,-0.0455,
12,hopeful,brave,vader_compound,22,8,0.0,0.1378,0.1378,0.0021,0.1835,0.1814,0.5383,-0.1534,
12,hopeful,cautious,tb_polarity,16,9,-0.0094,0.0,0.0094,-0.0557,0.1667,0.2224,0.0607,-0.4583,
12,hopeful,cautious,vader_compound,16,9,-0.1012,0.1635,0.2646,-0.0233,0.0493,0.0726,0.4585,-0.1875,
12,hopeful,curious,tb_polarity,17,14,0.0,0.0302,0.0302,-0.0432,0.0563,0.0996,0.1125,-0.3361,
12,hopeful,curious,vader_compound,17,14,0.0,0.0,0.0,0.1898,0.0908,-0.099,0.7488,0.0714,
12,hopeful,empathetic,tb_polarity,7,8,0.0,-0.0875,-0.0875,0.0487,-0.1,-0.1487,0.1753,0.4286,
12,hopeful,empathetic,vader_compound,7,8,0.0,0.4276,0.4276,0.04,0.2166,0.1766,0.6841,-0.1429,
52,afraid,aggressive,tb_polarity,7,7,0.0,-0.25,-0.25,-0.0605,-0.3188,-0.2583,0.1168,0.5102,
52,afraid,aggressive,vader_compound,7,7,-0.2732,-0.4404,-0.1672,-0.1323,-0.2271,-0.0948,0.7104,0.1429,
52,afraid,brave,tb_polarity,25,31,0.0,-0.0393,-0.0393,-0.0595,-0.0504,0.009,0.8541,0.0297,
52,afraid,brave,vader_compound,25,31,0.0,0.1511,0.1511,0.0808,0.1355,0.0547,0.8035,-0.04,
52,afraid,cautious,tb_polarity,18,26,0.0,-0.0579,-0.0579,-0.064,-0.1642,-0.1003,0.2358,0.2115,
52,afraid,cautious,vader_compound,18,26,0.0,0.0,0.0,-0.044,-0.0211,0.023,0.9043,-0.0235,
52,afraid,curious,tb_polarity,22,29,-0.015,0.0,0.015,-0.0217,-0.0542,-0.0325,0.9541,0.011,
52,afraid,curious,vader_compound,22,29,0.0,0.0,0.0,-0.0587,-0.1285,-0.0698,0.5044,0.1113,
52,afraid,empathetic,tb_polarity,21,26,0.0,0.0,0.0,-0.0798,-0.0809,-0.0011,0.7715,0.0513,
52,afraid,empathetic,vader_compound,21,26,0.0,0.0,0.0,-0.0544,-0.0864,-0.032,0.7397,0.0586,
52,anxious,aggressive,tb_polarity,5,3,,,,,,,,,insufficient data
52,anxious,aggressive,vader_compound,5,3,,,,,,,,,insufficient data
52,anxious,brave,tb_polarity,20,9,0.0,0.0,0.0,-0.0008,0.0822,0.083,0.2787,-0.2556,
